Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
HP;BX340CK;34";IPS;3440x1440;30-75 via DisplayPort;DisplayPort™;Yes;Yes;No
Acer;CB281HK;28";TN;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;CZ350C;35";NA;2560x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;CZ380CQK;38";IPS;3840x1600;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;Yes
Acer;EB243Y A;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;EB243YU;24";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;EB243YU A;24";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;EB273;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;EB275U;27";IPS;2560x1440;49-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;ED242QR;24";VA;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;ED242QR A;24";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ED273;27";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;ED273 A;27";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ED273A;27";VA;1920x1080;48-144 via DisplayPort 120-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ED273UR;27";NA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ED323QUR;32";NA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;ED323QUR/ED323QUR A;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ED347CKR;34";VA;3440x1440;48-100 via DisplayPort 48-100 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;EH301CUR;30";VA;2560x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;ET272R;27";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;ET322QK;32";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;Yes
Acer;ET322QR;32";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;ET322QU;32";NA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;GF246;24";TN;1920x1080;47-75 via DisplayPort 47-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;GF276;27";TN;1920x1080;47-75 via DisplayPort 47-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;H277HK;27";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;H277HK (kmipuz);27";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;HA220Q;22";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;HA220Q/ HA220Q wi;22";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;HA230;23";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;HA230/ HA230 wi;23";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;HA240Y;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;HA270;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;KG221Q;22";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG240;24";NA;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG240A;24";PLS;1920x1080;48-144 via DisplayPort;DisplayPort™;Yes;No;No
Acer;KG241;24";TN;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;KG241Q;24";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG241YU;24";TN;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;KG251Q;25";TN;1920x1080;40-75 via DisplayPort 40-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG251Q A;25";TN;1920x1080;30-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;KG251Q D/KG251Q;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;KG251Q/KG251Q B;25";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;KG251QA;25";TN;1920x1080;48-144 via DisplayPort 144-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;KG270;27";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG271;27";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;KG271 A;27";TN;1920x1080;30-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
